substance_name,cluster,umap1,umap2,manual_label
Polychlorinated terphenyls (PCTs),1,-2.112638366607583,-0.34404476477327406,Reaction masses
Asbestos fibres,1,0.7364234652243489,3.1971452336150166,Reaction masses
"Polybromobiphenyls, Polybrominatedbiphenyls (PBB)",3,-2.227393997100747,-0.24553038670244276,Petroleum & coal tar fractions
Volatile esters of bromoacetic acids,4,0.8143182869873875,-1.3903895516556746,Inorganic compounds & metal salts
2-naphthylamine and its salts,3,-1.1165435437239772,1.70487452553091,Petroleum & coal tar fractions
Benzidine and its salts,1,-0.6093872908629543,2.064770231707668,Reaction masses
4-Aminobiphenyl xenylamine and its salts,3,-1.217350614456094,1.6277772288161272,Petroleum & coal tar fractions
Lead carbonates,1,0.3165875252209538,3.6051082711058613,Reaction masses
Lead sulphates,1,0.17824287972077069,3.5193266968565937,Reaction masses
Mercury compounds,1,-1.1656296376265651,2.9482483963805195,Reaction masses
Arsenic compounds,1,-0.8887909773863918,3.0216362576323506,Reaction masses
Organostannic compounds,3,-1.8712633971251613,2.4021790127593037,Petroleum & coal tar fractions
Cadmium and its compounds,1,-0.9238604430235988,4.06911636398611,Reaction masses
"Monomethyl-dichloro-diphenyl methane Trade name: Ugilec 121, Ugilec 21",3,-3.730914962676919,-0.19250922395410597,Petroleum & coal tar fractions
"Monomethyl-dibromo-diphenyl methane bromobenzylbromotoluene, mixture of isomers",4,-3.923089397338784,-0.6299992699784285,Inorganic compounds & metal salts
Nickel and its compounds,1,-0.1351136092223293,4.0277760128813735,Reaction masses
Creosote and Creosote related substances,1,8.231258499237143,0.8037006358939165,Reaction masses
Azocolourants and Azodyes,4,-5.221258533386147,0.008743679835175886,Inorganic compounds & metal salts
"Diphenylether, octabromo derivative C12H2Br8O",3,-3.643162620452798,1.2577049832182878,Petroleum & coal tar fractions
Nonylphenol ethoxylates (C2H4O)nC15H24O,4,-3.121686113265908,-0.20497696592035353,Inorganic compounds & metal salts
Chromium VI compounds,1,-0.762763393310464,2.6658101181822773,Reaction masses
Polycyclic-aromatic hydrocarbons (PAH),2,5.100038635345542,-3.8803319831055645,Complex substances (UVCB with structure)
Polycyclic aromatic hydrocarbons (PAH),2,5.092776405426108,-3.909045447842503,Complex substances (UVCB with structure)
Diisobutyl phthalate (DIBP); Dibutyl phthalate (DBP); Benzyl butyl phthalate (BBP); Bis(2-ethylhexyl) phthalate (DEHP),3,-0.9797247771300441,-0.10793827964487133,Petroleum & coal tar fractions
Lead and its compounds,1,0.23541175088509259,3.6419506172972675,Reaction masses
Inorganic ammonium salts,1,-1.7353838805235988,2.3955819706755634,Reaction masses
"C9-C14 linear and/or branched perfluorocarboxylic acids (C9-C14 PFCAs), their salts and C9-C14 PFCAs-related substances
perfluorononan-1-oic acid (PFNA); nonadecafluorodecanoic acid (PFDA); henicosafluoroundecanoic acid (PFUnDA); tricosafluorododecanoic acid (PFDoDA); pentacosafluorotridecanoic acid (PFTrDA); heptacosafluorotetradecanoic acid (PFTDA); including their salts and precursors",4,-2.587498796371377,3.044370899661159,Inorganic compounds & metal salts
Octamethylcyclotetrasiloxane (D4); Decamethylcyclopentasiloxane (D5); dodecamethylcyclohexasiloxane (D6),3,-4.128378761199868,0.7981326083975786,Petroleum & coal tar fractions
"(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)silanetriol and any of its mono-, di- or tri-O-(alkyl) derivatives",3,-4.474134815124429,0.5688991646605486,Petroleum & coal tar fractions
Diisocyanates,3,-2.704160344985879,-1.8777354855698591,Petroleum & coal tar fractions
Substances in tattoo inks and permanent make up,1,-0.10855777302161518,6.465930233462428,Reaction masses
formaldehyde and formaldehyde releasers,4,-1.5473476771391994,-1.8868955273789412,Inorganic compounds & metal salts
synthetic polymer microparticles,4,-0.9920978669203884,-0.8730867405098921,Inorganic compounds & metal salts
"undecafluorohexanoic acid (PFHxA), its salts and related substances",1,-2.5606354598082666,3.1014859776335713,Reaction masses
Per- and polyfluoroalkyl substances (PFAS),4,-2.713917148498452,3.0218258004027363,Inorganic compounds & metal salts
"4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]diphenol and its salts",3,-4.319734943298257,2.2880120377379414,Petroleum & coal tar fractions
"tetra(sodium/potassium) 7-[(E)-{2-acetamido-4-[(E)-(4-{[4-chloro-6-({2-[(4-fluoro-6-{[4-(vinylsulfonyl)phenyl]amino}-1,3,5-triazine-2-yl)amino]propyl}amino)-1,3,5-triazine-2-yl]amino}-5-sulfonato-1-naphthyl)diazenyl]-5-methoxyphenyl}diazenyl]-1,3,6-naphthalenetrisulfonate (Reactive Brown 51)",3,-5.352811706451333,-0.011784111396694765,Petroleum & coal tar fractions
reaction mass of: triphenylthiophosphate and tertiary butylated phenyl derivatives,5,-3.2090114478148584,-7.339585532681371,"Trade names, codes & biological materials"
"6-[(C10-C13)-alkyl-(branched, unsaturated)-2,5-dioxopyrrolidin-1-yl]hexanoic acid",3,-4.834318530944741,0.7979959945517534,Petroleum & coal tar fractions
Oligomerisation and alkylation reaction products of 2-phenylpropene and phenol,4,-2.199409377960122,-1.467632879750157,Inorganic compounds & metal salts
"reaction mass of 2,2,3,3,5,5,6,6-octafluoro-4-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)morpholine and 2,2,3,3,5,5,6,6-octafluoro-4-(heptafluoropropyl)morpholine",5,-3.9186042670287256,-8.041328658596898,"Trade names, codes & biological materials"
Perfluoroheptanoic acid and its salts,1,-2.5503765467681054,3.0837066273528095,Reaction masses
bis(2-ethylhexyl) tetrabromophthalate covering any of the individual isomers and/or combinations thereof,3,-4.017419708160317,0.2591551046210283,Petroleum & coal tar fractions
"(±)-1,7,7-trimethyl-3-[(4-methylphenyl)methylene]bicyclo[2.2.1]heptan-2-one covering any of the individual isomers and/or combinations thereof (4-MBC)",3,-4.284349811462319,0.9216237764197344,Petroleum & coal tar fractions
"Phenol, alkylation products (mainly in para position) with C12-rich branched alkyl chains from oligomerisation, covering any individual isomers and/ or combinations thereof (PDDP)",4,-1.4654697302855617,0.13393312947330416,Inorganic compounds & metal salts
2-(4-tert-butylbenzyl)propionaldehyde and its individual stereoisomers,3,-1.3766557101287014,-1.9601291318100935,Petroleum & coal tar fractions
"2,2-bis(bromomethyl)propane-1,3-diol (BMP); 2,2-dimethylpropan-1-ol, tribromo derivative/3-bromo-2,2-bis(bromomethyl)-1-propanol (TBNPA); 2,3-dibromo-1-propanol (2,3-DBPA)",3,-3.6008557204283838,0.873688707812404,Petroleum & coal tar fractions
Medium-chain chlorinated paraffins (MCCP),1,5.417356597992026,-0.6860897441071516,Reaction masses
"Dioctyltin dilaurate, stannane, dioctyl-, bis(coco acyloxy) derivs., and any other stannane, dioctyl-, bis(fatty acyloxy) derivs. wherein C12 is the predominant carbon number of the fatty acyloxy moiety",4,-1.9508873347319728,1.1420099835234636,Inorganic compounds & metal salts
Perfluorobutane sulfonic acid (PFBS) and its salts,1,-2.571796310333169,3.0840771298247334,Reaction masses
"Tris(4-nonylphenyl, branched and linear) phosphite (TNPP)",3,-3.482755554107583,0.4689406554537767,Petroleum & coal tar fractions
"2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)propionic acid, its salts and its acyl halides",3,-3.9541219595946435,2.481800089343166,Petroleum & coal tar fractions
"Terphenyl, hydrogenated",4,-3.134223831085122,-0.06021322055282651,Inorganic compounds & metal salts
"1,6,7,8,9,14,15,16,17,17,18,18-Dodecachloropentacyclo[12.2.1.16,9.02,13.05,10]octadeca-7,15-diene (“Dechlorane Plus”™)",3,-5.640990150360024,1.158477673991298,Petroleum & coal tar fractions
"Reaction products of 1,3,4-thiadiazolidine-2,5-dithione, formaldehyde and 4-heptylphenol, branched and linear (RP-HP)",3,-1.7771235827483303,-1.5865583319825178,Petroleum & coal tar fractions
Perfluorohexane-1-sulphonic acid and its salts,1,-2.5255447749175195,3.0727136235075947,Reaction masses
"4-heptylphenol, branched and linear",3,-3.059241903213418,-0.30595158530893385,Petroleum & coal tar fractions
Nonadecafluorodecanoic acid (PFDA) and its sodium and ammonium salts,1,-2.5339294795073632,3.0959909062224384,Reaction masses
