direct_parent_id,direct_parent_lbl,n_inchikeys,n_sources
CHEMONTID:0000324,Fatty acid esters,269,9
CHEMONTID:0000369,Diphenylmethanes,233,17
CHEMONTID:0003601,2-naphthalene sulfonates,204,4
CHEMONTID:0002279,Benzene and substituted derivatives,186,8
CHEMONTID:0002811,Phenylpropanes,186,11
CHEMONTID:0000346,Dicarboxylic acids and derivatives,172,12
CHEMONTID:0004298,Alkyl-phenylketones,169,10
CHEMONTID:0001350,Benzoic acid esters,161,13
CHEMONTID:0003086,Medium-chain fatty acids,150,7
CHEMONTID:0000036,Nitrobenzenes,144,12
CHEMONTID:0001238,Carboxylic acid esters,133,9
CHEMONTID:0001167,Dialkyl ethers,128,14
CHEMONTID:0002341,Phenol ethers,126,11
CHEMONTID:0000151,Anthraquinones,107,8
CHEMONTID:0000023,Naphthalenes,104,10
CHEMONTID:0003370,Azobenzenes,104,6
CHEMONTID:0001722,Fatty alcohol esters,102,8
CHEMONTID:0002564,Dichlorobenzenes,100,12
CHEMONTID:0000032,Benzenesulfonic acids and derivatives,99,5
CHEMONTID:0002239,Trialkylamines,97,9
CHEMONTID:0002966,Tetracarboxylic acids and derivatives,94,7
CHEMONTID:0000120,Benzophenones,91,10
CHEMONTID:0003140,Trialkoxysilanes,91,9
CHEMONTID:0000041,Biphenyls and derivatives,87,11
CHEMONTID:0000060,Alpha amino acids and derivatives,84,5
CHEMONTID:0001986,Tricarboxylic acids and derivatives,81,7
CHEMONTID:0000031,Benzenesulfonamides,78,6
CHEMONTID:0004551,Trifluoromethylbenzenes,78,5
CHEMONTID:0001334,Fatty alcohols,77,8
CHEMONTID:0001897,"1,2-aminoalcohols",77,6
CHEMONTID:0000394,Alpha amino acid esters,71,5
CHEMONTID:0004155,Diphenylethers,71,9
CHEMONTID:0002309,Alpha amino acid amides,70,7
CHEMONTID:0000284,Aniline and substituted anilines,67,7
CHEMONTID:0002949,Long-chain fatty acids,66,7
CHEMONTID:0001099,Chlorobenzenes,65,12
CHEMONTID:0003600,1-naphthalene sulfonates,65,3
CHEMONTID:0000118,Ketones,59,7
CHEMONTID:0000285,Anilides,59,6
CHEMONTID:0001096,N-acyl amines,59,4
CHEMONTID:0002404,Alpha amino acids,59,4
CHEMONTID:0000185,Phenylmethylamines,58,5
CHEMONTID:0000195,Piperidines,58,6
CHEMONTID:0000538,Transition metal oxides,58,11
CHEMONTID:0001179,Organosulfonic acids,58,7
CHEMONTID:0001270,Miscellaneous mixed metal/non-metals,57,10
CHEMONTID:0001100,Fluorobenzenes,56,4
CHEMONTID:0001516,Organochlorides,56,12
CHEMONTID:0004713,Benzanilides,56,7
CHEMONTID:0000311,Benzothiazoles,55,9
CHEMONTID:0000469,Monoalkylamines,54,10
CHEMONTID:0002441,Naphthols and derivatives,53,6
CHEMONTID:0001097,Benzyloxycarbonyls,52,6
CHEMONTID:0000138,Anisoles,51,5
CHEMONTID:0002019,Phenylpyrazoles,51,5
CHEMONTID:0000286,Primary alcohols,50,9
CHEMONTID:0000294,Benzimidazoles,49,7
CHEMONTID:0000362,Nitriles,49,5
CHEMONTID:0001022,Acyl chlorides,49,2
CHEMONTID:0001205,Carboxylic acids,49,9
CHEMONTID:0004225,Tetraalkylammonium salts,49,8
CHEMONTID:0001127,Acyclic monoterpenoids,47,7
CHEMONTID:0003626,Enoate esters,47,8
CHEMONTID:0003901,Dialkylarylamines,47,6
CHEMONTID:0004479,Trialkylheterosilanes,47,8
CHEMONTID:0001564,Bicyclic monoterpenoids,46,10
CHEMONTID:0003487,Cyclic ketones,46,4
CHEMONTID:0000588,Transition metal chlorides,45,9
CHEMONTID:0002565,Benzoic acids,45,11
CHEMONTID:0000364,Organic carbonic acids and derivatives,44,5
CHEMONTID:0000392,Morpholines,44,6
CHEMONTID:0001515,Organobromides,44,8
CHEMONTID:0001992,Nitrobenzoic acids and derivatives,44,3
CHEMONTID:0001521,Organic carbonic acids,43,9
CHEMONTID:0001550,Sesquiterpenoids,43,8
CHEMONTID:0002228,Dialkylamines,43,7
