direct_parent_id,direct_parent_lbl,n_inchikeys,n_sources
CHEMONTID:0000324,Fatty acid esters,269,9
CHEMONTID:0000369,Diphenylmethanes,233,17
CHEMONTID:0003601,2-naphthalene sulfonates,204,4
CHEMONTID:0002279,Benzene and substituted derivatives,186,8
CHEMONTID:0002811,Phenylpropanes,186,11
CHEMONTID:0000346,Dicarboxylic acids and derivatives,172,12
CHEMONTID:0004298,Alkyl-phenylketones,169,10
CHEMONTID:0001350,Benzoic acid esters,161,13
CHEMONTID:0003086,Medium-chain fatty acids,150,7
CHEMONTID:0000036,Nitrobenzenes,144,12
CHEMONTID:0001238,Carboxylic acid esters,133,9
CHEMONTID:0001167,Dialkyl ethers,128,14
CHEMONTID:0002341,Phenol ethers,126,11
CHEMONTID:0000151,Anthraquinones,107,8
CHEMONTID:0000023,Naphthalenes,104,10
CHEMONTID:0003370,Azobenzenes,104,6
CHEMONTID:0001722,Fatty alcohol esters,102,8
CHEMONTID:0002564,Dichlorobenzenes,100,12
CHEMONTID:0000032,Benzenesulfonic acids and derivatives,99,5
CHEMONTID:0002239,Trialkylamines,97,9
CHEMONTID:0002966,Tetracarboxylic acids and derivatives,94,7
CHEMONTID:0000120,Benzophenones,91,10
CHEMONTID:0003140,Trialkoxysilanes,91,9
CHEMONTID:0000041,Biphenyls and derivatives,87,11
CHEMONTID:0000060,Alpha amino acids and derivatives,84,5
CHEMONTID:0001986,Tricarboxylic acids and derivatives,81,7
CHEMONTID:0000031,Benzenesulfonamides,78,6
CHEMONTID:0004551,Trifluoromethylbenzenes,78,5
CHEMONTID:0001334,Fatty alcohols,77,8
CHEMONTID:0001897,"1,2-aminoalcohols",77,6
