rank,substance,substance_name,priority_score,list_score,bio_score,n_lists,top_list_cat,echa_lists,bio_activity_labels
1,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/6b129f91b1df89d30d7e7b95af7cf89b,"2,2-bis(4-hydroxyphenyl)propane",33,30,3,12,SVHC / Candidate,clh_process|candidate_list|harmonised_list|ed_assessment|authorisation_process|eu_positive_list|substance_evaluation|dossier_evaluation|restriction_process|reach_registrations|restriction_list|svhc_identification,xenoestrogen|endocrine disruptor|environmental contaminant|xenobiotic
2,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/3f18b1d5ab1e7f86f4daeb0d7416dac8,Dibutyl phthalate,29,26,3,10,SVHC / Candidate,reach_registrations|authorisation_process|harmonised_list|svhc_identification|clh_process|authorisation_list|dossier_evaluation|pbt_assessment|eu_positive_list|candidate_list,EC 3.2.1.20 (alpha-glucosidase) inhibitor|plasticiser|teratogenic agent|environmental contaminant|metabolite
3,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/48e1554c093fa2707ebc72cb31b82f14,"2-(2H-benzotriazol-2-yl)-4,6-di-tert-pentylphenol",27,27,0,8,SVHC / Candidate,pops_process|pops_list|authorisation_list|authorisation_process|svhc_identification|candidate_list|pbt_assessment|reach_registrations,
4,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/31f27c12d47e95c7651496bf74a0158f,Trixylyl phosphate,26,26,0,10,SVHC / Candidate,svhc_identification|candidate_list|authorisation_process|clh_process|substance_evaluation|harmonised_list|pbt_assessment|authorisation_list|dossier_evaluation|reach_registrations,
5,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/df9a29dc51de42880ce7f8b57e2409ab,"4,4'- Diaminodiphenylmethane (MDA)",26,21,5,8,SVHC / Candidate,reach_registrations|eu_positive_list|svhc_identification|harmonised_list|dossier_evaluation|candidate_list|authorisation_process|authorisation_list,carcinogenic agent|allergen
6,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/01ef4a342eb293aa00fb9ab224449c25,"1,3,5-triazine-2,4,6-triamine; melamine",25,25,0,10,SVHC / Candidate,ed_assessment|authorisation_process|candidate_list|harmonised_list|svhc_identification|dossier_evaluation|pbt_assessment|clh_process|eu_positive_list|reach_registrations,xenobiotic metabolite
7,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/4626093435c2e0bb663b690ea3464835,Acrylamide,25,17,8,6,SVHC / Candidate,restriction_list|reach_registrations|candidate_list|svhc_identification|harmonised_list|eu_positive_list,alkylating agent|carcinogenic agent|mutagen|Maillard reaction product|neurotoxin
8,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/a1aaea34d0e7fb010590d091251e0f2a,1-Methyl-2-pyrrolidone (NMP),25,25,0,9,SVHC / Candidate,eu_positive_list|clh_process|reach_registrations|restriction_list|authorisation_process|restriction_process|candidate_list|harmonised_list|svhc_identification,polar aprotic solvent
9,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d09f71955c400bac7bd7b1948b0ed208,"N,N-dimethylacetamide",25,25,0,9,SVHC / Candidate,harmonised_list|svhc_identification|candidate_list|restriction_process|reach_registrations|authorisation_process|clh_process|restriction_list|eu_positive_list,human metabolite
10,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/2a37823e6e82edfc36b26e392ce38861,Diisobutyl phthalate,24,21,3,7,SVHC / Candidate,candidate_list|reach_registrations|authorisation_list|clh_process|harmonised_list|svhc_identification|authorisation_process,PPAR modulator|teratogenic agent|plasticiser
11,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d28ffb2875f2e29c5c776b1a5d70969a,"N,N-dimethylformamide",24,24,0,9,SVHC / Candidate,harmonised_list|eu_positive_list|reach_registrations|authorisation_process|svhc_identification|dossier_evaluation|restriction_list|restriction_process|candidate_list,geroprotector|polar aprotic solvent|hepatotoxic agent
