substance,substance_name,priority_score,list_score,bio_score,n_lists,top_list_cat,has_bio,quadrant
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/6b129f91b1df89d30d7e7b95af7cf89b,"2,2-bis(4-hydroxyphenyl)propane",33,30,3,12,SVHC / Candidate,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/3f18b1d5ab1e7f86f4daeb0d7416dac8,Dibutyl phthalate,29,26,3,10,SVHC / Candidate,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/48e1554c093fa2707ebc72cb31b82f14,"2-(2H-benzotriazol-2-yl)-4,6-di-tert-pentylphenol",27,27,0,8,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/31f27c12d47e95c7651496bf74a0158f,Trixylyl phosphate,26,26,0,10,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/df9a29dc51de42880ce7f8b57e2409ab,"4,4'- Diaminodiphenylmethane (MDA)",26,21,5,8,SVHC / Candidate,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/01ef4a342eb293aa00fb9ab224449c25,"1,3,5-triazine-2,4,6-triamine; melamine",25,25,0,10,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/4626093435c2e0bb663b690ea3464835,Acrylamide,25,17,8,6,SVHC / Candidate,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/a1aaea34d0e7fb010590d091251e0f2a,1-Methyl-2-pyrrolidone (NMP),25,25,0,9,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d09f71955c400bac7bd7b1948b0ed208,"N,N-dimethylacetamide",25,25,0,9,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/2a37823e6e82edfc36b26e392ce38861,Diisobutyl phthalate,24,21,3,7,SVHC / Candidate,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d28ffb2875f2e29c5c776b1a5d70969a,"N,N-dimethylformamide",24,24,0,9,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/e0d9dc38fd15d492fb5e0180ade962a7,"1,4-dioxane",24,21,3,8,SVHC / Candidate,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/f0c41ac19642419de0324a29112eec62,"1,2-Dichloroethane",24,21,3,7,SVHC / Candidate,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/333eed4c589e83e0e103a329293c8b74,"2-ethylhexyl 10-ethyl-4,4-dioctyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate",23,23,0,9,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/6e1298c151d6cf5776936ffe4eba3f42,"4,4'-sulfonyldiphenol",23,20,3,9,SVHC / Candidate,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/80ad0a29ea4c475aabf831a4321ef612,BBP; benzyl butyl phthalate e,23,23,0,9,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/e8185f3bbaeb71b0754889e7130de161,Dicyclohexyl phthalate,23,23,0,10,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/233fe8ee61566da6e6032bca56b0409c,"5-tert-butyl-2,4,6-trinitro-m-xylene",22,19,3,5,SVHC / Candidate,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/28baae1304f792ebc6c671fbe1bcd709,Potassium chromate,22,19,3,6,SVHC / Candidate,TRUE,Q1: broad regulation & ChEBI hazard evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/2ffa5453ce36b40b6708bf5d5e1374c5,"2,4-dinitrotoluene",22,22,0,6,SVHC / Candidate,FALSE,Q3: broad regulation & no ChEBI evidence
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/392b4528674d8f5697c65410444d4789,Bis(pentabromophenyl) ether,22,20,2,6,SVHC / Candidate,TRUE,Q1: broad regulation & ChEBI hazard evidence
