source,with_inchikey,without_inchikey,total,pct_with
ed_assessment,118,20,138,0.855072463768116
clh_process,751,141,892,0.8419282511210763
candidate_list,208,50,258,0.8062015503875969
svhc_identification,217,56,273,0.7948717948717948
authorisation_process,96,25,121,0.7933884297520661
substance_evaluation,328,95,423,0.7754137115839244
authorisation_list,45,14,59,0.7627118644067796
pesticides,1083,396,1479,0.7322515212981744
harmonised_list,3349,1406,4755,0.7043112513144059
pbt_assessment,161,87,248,0.6491935483870968
reach_registrations,15947,9253,25200,0.6328174603174603
dossier_evaluation,2751,1635,4386,0.6272229822161423
eu_positive_list,1200,816,2016,0.5952380952380952
pops_list,18,16,34,0.5294117647058824
restriction_list,31,47,78,0.3974358974358974
pops_process,4,8,12,0.3333333333333333
restriction_process,15,36,51,0.29411764705882354
sommatie_stoffen,54,1336,1390,0.03884892086330935
