inchikey,restriction_list,candidate_list,authorisation_list,pops_list,eu_positive_list,harmonised_list,restriction_process,svhc_identification,authorisation_process,dossier_evaluation,clh_process,substance_evaluation,pbt_assessment,ed_assessment,reach_registrations,pesticides,sommatie_stoffen
BZHJMEDXRYGGRV-UHFFFAOYSA-N,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0
PQYJRMFWJJONBO-UHFFFAOYSA-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UHOVQNZJYSORNB-UHFFFAOYSA-N,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
FYAMXEPQQLNQDM-UHFFFAOYSA-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAJQRLZAPXASRD-UHFFFAOYSA-N,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
QSHDDOUJBYECFT-UHFFFAOYSA-N,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
WGSHSRLSNBIFSC-UHFFFAOYSA-N,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
VFDKJOGFZHCXDA-UHFFFAOYSA-N,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HEDRZPFGACZZDS-UHFFFAOYSA-N,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
UBOXGVDOUJQMTN-UHFFFAOYSA-N,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
QPFMBZIOSGYJDE-UHFFFAOYSA-N,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
QVLAWKAXOMEXPM-UHFFFAOYSA-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BNIXVQGCZULYKV-UHFFFAOYSA-N,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LGXVIGDEPROXKC-UHFFFAOYSA-N,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0
VHHHONWQHHHLTI-UHFFFAOYSA-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
YXFVVABEGXRONW-UHFFFAOYSA-N,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
PBKONEOXTCPAFI-UHFFFAOYSA-N,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
SBASXUCJHJRPEV-UHFFFAOYSA-N,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
OAYXUHPQHDHDDZ-UHFFFAOYSA-N,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
XDTMQSROBMDMFD-UHFFFAOYSA-N,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
DVARTQFDIMZBAA-UHFFFAOYSA-O,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
YMWUJEATGCHHMB-UHFFFAOYSA-N,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0
HRPVXLWXLXDGHG-UHFFFAOYSA-N,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
LDCRTTXIJACKKU-ONEGZZNKSA-N,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OCJBOOLMMGQPQU-UHFFFAOYSA-N,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0
IISBACLAFKSPIT-UHFFFAOYSA-N,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0
OKKJLVBELUTLKV-UHFFFAOYSA-N,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0
SECXISVLQFMRJM-UHFFFAOYSA-N,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0
ZMXDDKWLCZADIW-UHFFFAOYSA-N,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0
FXHOOIRPVKKKFG-UHFFFAOYSA-N,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0
ZFPGARUNNKGOBB-UHFFFAOYSA-N,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0
VLKZOEOYAKHREP-UHFFFAOYSA-N,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0
BZQKBFHEWDPQHD-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0
RGMZNZABJYWAEC-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0
YFCGDEUVHLPRCZ-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0
JAJLKEVKNDUJBG-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0
IKXFIBBKEARMLL-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0
CXQXSVUQTKDNFP-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0
XZZNDPSIHUTMOC-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0
XMNIXWIUMCBBBL-UHFFFAOYSA-N,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0
PFEFOYRSMXVNEL-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0
IYAZLDLPUNDVAG-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0
OCWYEMOEOGEQAN-UHFFFAOYSA-N,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0
PUBNJSZGANKUGX-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0
VFHVQBAGLAREND-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0
GPAPPPVRLPGFEQ-UHFFFAOYSA-N,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0
VPWNQTHUCYMVMZ-UHFFFAOYSA-N,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0
VEORPZCZECFIRK-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0
JDSHMPZPIAZGSV-UHFFFAOYSA-N,0,1,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0
XPJVKCRENWUEJH-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
YATIGPZCMOYEGE-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
QBLDFAIABQKINO-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0
CNCOEDDPFOAUMB-UHFFFAOYSA-N,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0
WOXXJEVNDJOOLV-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0
KGRVJHAUYBGFFP-UHFFFAOYSA-N,0,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0
BTGXKUUWLIFGRR-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
WJZOJDGNGVXSIK-UHFFFAOYSA-N,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SXRSQZLOMIGNAQ-UHFFFAOYSA-N,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0
HTVITOHKHWFJKO-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
RYHBNJHYFVUHQT-UHFFFAOYSA-N,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0
ZUHZGEOKBKGPSW-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
UQFXPYKWVFOQTH-VGKOASNMSA-L,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
LXBGSDVWAMZHDD-UHFFFAOYSA-N,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0
OSSNTDFYBPYIEC-UHFFFAOYSA-N,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0
QFOHBWFCKVYLES-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
UHFFVFAKEGKNAQ-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0
LWRBVKNFOYUCNP-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0
ALEROMXYYSQFLX-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
QHPQWRBYOIRBIT-UHFFFAOYSA-N,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0
XLLIQLLCWZCATF-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
VHLLJTHDWPAQEM-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
OIQXFRANQVWXJF-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
YNPNZTXNASCQKK-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
GVEPBJHOBDJJJI-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
HAXBIWFMXWRORI-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
BBEAQIROQSPTKN-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
GYFAGKUZYNFMBN-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IUMSDRXLFWAGNT-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0
XMSXQFUHVRWGNA-UHFFFAOYSA-N,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0
SRPWOOOHEPICQU-UHFFFAOYSA-N,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0
HMMGMWAXVFQUOA-UHFFFAOYSA-N,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0
WABPQHHGFIMREM-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0
