source,n_records,n_unique_inchikeys,linking_ratio
authorisation_list,59,45,0.7627118644067796
authorisation_process,121,95,0.7851239669421488
candidate_list,258,206,0.7984496124031008
clh_process,892,749,0.8396860986547086
dossier_evaluation,4386,2732,0.622891016871865
ed_assessment,138,118,0.855072463768116
eu_positive_list,2016,1113,0.5520833333333334
harmonised_list,4755,3258,0.6851735015772871
pbt_assessment,248,161,0.6491935483870968
pesticides,1479,1062,0.718052738336714
pops_list,34,18,0.5294117647058824
pops_process,12,4,0.3333333333333333
reach_registrations,25200,15751,0.6250396825396826
restriction_list,78,31,0.3974358974358974
restriction_process,51,15,0.29411764705882354
sommatie_stoffen,1390,51,0.03669064748201439
substance_evaluation,423,328,0.7754137115839244
svhc_identification,273,216,0.7912087912087912
