substance_name,best_match,score_1
polysaccharides,Polysaccharides,1
Alkyl mercury compounds,Alkyl mercury compounds,0.9999999999999994
naphthalene sulfonates,Naphthalene sulfonates,0.999999999999812
Tannins,Tannins,0.9999999999997516
xylenols,Xylenols,0.9999999999997227
Phenols,Phenols,0.9999999999997194
cresols,Cresols,0.9999999999996312
Other inorganic mercury compounds,Inorganic mercury compounds,0.9528580482061803
Arsenic compounds,Inorganic arsenic compounds,0.9375834270376033
polyterpenes,Polyterpenoids,0.9314184087372233
Mercury compounds,Inorganic mercury compounds,0.931232517415299
polyethylene glycol,Polyethylene glycols,0.9296300143523908
Chromium VI compounds,Inorganic chromium (VI) compounds,0.9227395674994009
Quaternary ammonium compounds,Quaternary ammonium salts,0.9134656455787297
lead alkyls,Alkyl lead compounds,0.912675473170424
Quinoline derivative,Quinolines and derivatives,0.9116667622493273
Alkyloxyl and aryl mercury compounds,Aryl mercury compounds,0.9080454976646749
xylene,Xylenes,0.9042848999065715
Xylene,Xylenes,0.9042848999065715
Fatty alcohols / Aliphatic alcohols,Fatty alcohols,0.8994201883840847
"Perfluorohexane-1-sulphonic acid, its salts and related substances",Perfluoroalkyl sulfonic acid and derivatives,0.8991252006506995
Perfluorohexane-1-sulphonic acid and its salts,Perfluoroalkyl sulfonic acid and derivatives,0.89449852222341
Nickel and its compounds,Inorganic nickel compounds,0.8927596958257905
"Perfluorohexane sulfonic acid (PFHxS), its salts and PFHxS-related compounds",Perfluoroalkyl sulfonic acid and derivatives,0.8913341247072564
polypropylene glycol,Polyethylene glycols,0.8897088802606387
Polyphosphoric acids,Organic phosphoric acids,0.888220124750631
polyphosphoric acids,Organic phosphoric acids,0.88822011432115755
fatty acid polyglycol esters,Fatty acid esters,0.8872767854642045
"Polybromobiphenyls, Polybrominatedbiphenyls (PBB)",Polybrominated biphenyls,0.8867582214824455
"Fatty acids, C18-unsatd.",Unsaturated fatty acids,0.8849958415928545
Naphthenic acids,Naphthalenecarboxylic acids,0.881114292886051
"Long-chain perfluorocarboxylic acids, their salts and related compounds",Perfluoroalkyl carboxylic acid and derivatives,0.8792496772254442
Inorganic ammonium salts,Quaternary ammonium salts,0.8780432756368687
Benzyl-C12-14-alkyldimethylammonium chlorides,Alkyldimethylbenzylammonium chlorides,0.8762776950022791
poly(ethylenepropylene)glycol,Polyethylene glycols,0.8756850607948704
Cadmium and its compounds,Inorganic cadmium salts,0.8714727638794563
"Methyl esters of fatty acids, C16-C18 and C18 unsaturated, branched and linear",Fatty acid methyl esters,0.868251508549734
