substance_name,best_match,score_1
polysaccharides,Polysaccharides,1.0000000000000002
naphthalene sulfonates,Naphthalene sulfonates,0.9999999999999997
xylenols,Xylenols,0.999999999999832
Alkyl mercury compounds,Alkyl mercury compounds,0.9999999999998113
Phenols,Phenols,0.9999999999997952
Tannins,Tannins,0.9999999999996045
cresols,Cresols,0.9999999999995883
Inorganic ammonium salts,Inorganic chloride salts,0.9783214029383892
polyterpenes,Polyterpenoids,0.9728011906798425
Arsenic compounds,Inorganic arsenic compounds,0.9697788830216063
Mercury compounds,Inorganic mercury compounds,0.9682493812064162
Diisocyanates,Isocyanates,0.9679120378506114
"[1,2,4]triazolo[1,5-a]pyridin-7-ol hydrochloride","Pyrazolo[4,3-e]pyrrolo[1,2-a]pyrazines",0.9580454546760843
tannic acids,Tannins,0.9528954791625013
"1,3,5-Triazine-2,4,6-triamine, deammoniated","1,3,5-triazine-2,4-diamines",0.9513943414164312
"1,3,5-triazine-2,4,6-triyltriamine, monohydrobromide","1,3,5-triazine-2,4-diamines",0.9478110987970263
Diaminotoluene,Diaminotoluenes,0.9455178868045191
"3-Chloro-4-(pyridine-3-yl)-1,2,5-thiadiazole","2-amino-5-substituted-1,3,4-thiadiazoles",0.9451409945529982
Other inorganic mercury compounds,Inorganic mercury compounds,0.943981011323307
Alkyloxyl and aryl mercury compounds,Aryl mercury compounds,0.9428133150661361
Alkyldimethylbenzyl ammonium chloride,Alkyldimethylbenzylammonium chlorides,0.9421431469752605
Naphthenic acids,Benzoic acids,0.9412314559114163
"1,5-diacetylperhydro-1,3,5-triazine-2,4-dione","1,3,5-triazine-2,4-diamines",0.9378999762308484
melamine sulfonates,Diazonium sulfates,0.9362334131118202
Benzyl-C12-14-alkyldimethylammonium chlorides,Alkyldimethylbenzylammonium chlorides,0.9353590595936286
"2,3-DIMETHYL-5,6,7,8-TETRAHYDRO-IMIDAZOL[1,2A]PYRIDIN-8-ON","Imidazo[5,1-d]-1,2,3,5-tetrazines",0.9351428961354386
"Certain chromium(VI) oxides, oxyacids and salts",Inorganic chromium (VI) compounds,0.9338023369820062
thioxylenols,Thiophenols,0.9329456506789858
"4-Amino-5-chloro-2,1,3-benzothiodiazole","2-amino-5-substituted-1,3,4-thiadiazoles",0.9321397796181103
"1-isoctyloxycarbonyl ethylated 2,4,6 tris (2,4- hydroxyphenyl) -1,3,5 triazine derivatives","2-methoxy-1,3,5-triazines",0.9319365817906236
polyhalogenated dibenzo-p-dioxins and dibenzofurans,Chlorinated dibenzo-p-dioxins,0.9318912835853839
"A mixture of: 1,2-O,O-diacyl-3-(α-D-galactopyranosyl(1''-6')-β-D-galactopyranosyl)-sn-glycerol; N-acyl-1,2-O,O-diacyl-sn-glycero-3-phosphoetanolamine","1,2-diacyl-3-O-beta-D-galactosyl-sn-glycerols",0.9308259019576889
chlorobutadienes,Alkadienes,0.930119641557371
"1,3,4-Thiadiazolidine-2,5-dithione, reaction products with hydrogen peroxide and tert-nonanethiol","1,2,4-benzothiadiazine-1,1-dioxides",0.9285351825510011
"Reaction product of sulfonated 9,19-dichloro-5,15-diethyl-5,15-dihydrocarbazolo[3',4':5,6][1,4]oxazino[2,3-b]indolo[3,2-h]phenoxazine and 1-Dodecanamine","Pyrazolo[1',5':1,6]pyrimido[4,5-d]pyridazin-4-ones",0.9284537002064679
QUINAZOLINONE,Quinazolines,0.9283477275093829
"2-(4-nitrophenyl)-6-tert-butyl-1H-pyrazolo[1,5-b][1,2,4]triazole","Pyrazolo[1',5':1,6]pyrimido[4,5-d]pyridazin-4-ones",0.9279333648003921
polyethylene glycol,Polyethylene glycols,0.9276054919548364
Perfluoroheptanoic acid and its salts,Perfluorooctanoic acid and derivatives,0.9272828216114993
Quaternary ammonium compounds,Quaternary ammonium salts,0.9272569548490976
"N,N'-diaryl-p-phenylenediamine","N,N-dialkyl-p-toluamides",0.9261579111970196
lead alkyls,Alkyl lead compounds,0.9259834341122846
"formaldehyde-2,4,6-triamino-1,3,5-triazine, copolymer","1,3,5-triazine-2,4-diamines",0.9258241257549746
Alkylnaphthalene,Naphthalenes,0.9255691585414658
"5,5-Dimethylimidazolidine-2,4-dione, reaction products with oxirane","5-Benzylpyrimidine-2,4-diamines",0.9252601065922054
Iron arsenide,Inorganic arsenides,0.9251576801585797
CW004A (Cu-ETP),Gal- (Gala series),0.9248886537786588
"(CIS)-5-(4,6-dimethylpyrimidin-2-yl)-2,3,3a,4,6,6a-hexahydro-1H-pyrrolo[3,4-c]pyrrole","Pyrazolo[1',5':1,6]pyrimido[4,5-d]pyridazin-4-ones",0.92447749929443
octylalcohols,Cyclopentanols,0.9243588458682935
magnesium alkyls,Metal alkyls,0.9243068394890543
"2,5-Dibromo-6-carbaldoximepyridine","2-amino-3-aroyl-4,5-alkylthiophenes",0.9242301114898419
aluminium alkyls,Alkyl fluorides,0.9242103051598464
Nickel arsenide sulfide,Alkali metal sulfides,0.9242032292771984
Quinoline derivative,Carboxylic acid derivatives,0.9241369804040759
Superphosphates,Organic pyrophosphates,0.9236870715733099
Enzymatically produced steviol glycosides,Steviol glycosides,0.923574220298728
Triazine derivative,Carboxylic acid derivatives,0.9230357665809527
"Propane-1,2-diol diheptanoate","Polyprenylbenzene-1,2-diols",0.9230213112727624
Tar acids,Carboxylic acids,0.9227382168649453
pentenes,Alkenes,0.9226173940201806
"3-Amino-tricyclo[3,3,1,13,7]decan-1-ol","Imidazo[5,1-d]-1,2,3,5-tetrazines",0.9225349328234986
AMINOPYRROLAMIDE,Aminopyrazines,0.9220505356612377
Lead carbonates,Inorganic sulfides,0.9217724194651565
manganese pyrophosphite,Alkaline earth metal hypophosphites,0.9214315879213115
"1-ethyl-5,6,7,8-tetrahydroquinolinium tosylate","1,2,3,6-Tetrahydropyridines",0.9214029639443682
"1,3,4-Thiadiazolidine-2,5-dithione, reaction products with hydrogen peroxide and tert-dodecanethiol","1,2,4-dithiazole-3-thiones",0.9211964294094894
"Reaction products of 1,3,5-triazine-2,4,6-triamine and magnesium hydrogen phosphate","1,3,5-triazine-2,4-diamines",0.9210399403910137
polyethyleneglycol,Polyethylene glycols,0.9208973566263697
"2,2-dimethyl-4H-1,3,2-benzodioxasilin-4-one","1,2,4-benzothiadiazine-1,1-dioxides",0.9207704528601114
"(Z)-5-Amino-α-(methoxyimino)-1,2,4-thiadiazole-3-acetic acid","2-amino-5-substituted-1,3,4-thiadiazoles",0.9206689551205752
"2,2-Bis(bromomethyl)propane-1,3-diol, oligomeric reaction products with 1-chloro-2,3-epoxypropane","1,2-diacyl-sn-glycerol-3(2'-aminopropyl)phosphonates",0.9205594685285047
Polychlorinated naphthalenes,Polychlorinated dibenzofurans,0.9203107148588112
CW008A (Cu-OF),Gal- (Gala series),0.9196231492185732
"isopropyl (1s,3s)-3-(methylamino)cyclobutane-1-carboxylate succinate","1,2-diacyl-sn-glycerol-3(2'-trimethylaminoethyl)phosphonates",0.9195602552656458
"salts of 3,3'-dimethylbenzidine","3,3'-dihalogenated benzidines",0.9193550784792021
Copper compounds,Inorganic copper salts,0.919242618095448
2-naphthylamine and its salts,Naphthyridine carboxylic acids and derivatives,0.9191602465710245
Organostannic compounds,Azoxy compounds,0.9188311628955627
"2,2'-[3,3'-(piperazine-1,4-diyl)dipropyl]bis(1H-benzimidazo[2,1—b]benzo[l,m,n][3,8]phenanthroline-1,3,6-trione","Pyrazolo[1',5':1,6]pyrimido[4,5-d]pyridazin-4-ones",0.9186160326202943
tris(mono- and dinonylphenyl) phosphite,Tris(ketoximino)silanes,0.918611255942081
"N-(3-aminopropyl)-N'-C16-18 (evennumbered), C18 unsaturated alkyl -propane-1,3-diamine","1-(1Z-alkenyl),2-acyl-glycerols",0.9185199553004494
"Bis(C14-C15)alkyl-2,3-dihydroxybutandioate","1,2-diacyl-sn-glycerol-3(2'-aminopropyl)phosphonates",0.9184992692929372
"6-sulfonamide-2-(3-methoxy-propyl)-1,1-dioxo-1,2,3,4-tetrahydro-1alpha 6-thieno[3,2-e][1,2]thiazin-4-ol","Pyrazolo[1',5':1,6]pyrimido[4,5-d]pyridazin-4-ones",0.918388823797551
Polyphosphoric acids,Boronic acids,0.9183193953800001
polyphosphoric acids,Boronic acids,0.9183193478928019
"N-(3-aminopropyl)-N- (C12-18 even numbered) alkyl-propane-1,3-diamine","1,2-diacyl-sn-glycerol-3(2'-trimethylaminoethyl)phosphonates",0.9181596585137932
TRIAZINE B,Triazines,0.91808140165404
zinc hydroxyphosphite,Alkali metal hypophosphites,0.9180310407155499
"3-(biphenyl-4-yl)-6-(4-chlorophenyl)-2,5-dihydropyrrolo[3,4-c]pyrrole-1,4-dione","Pyrazolo[1',5':1,6]pyrimido[4,5-d]pyridazin-4-ones",0.9178663271640323
bis(C10-13alkylphenyl)iodonium tetrakis(pentafluorphenyl)borate,Tris(ketoximino)silanes,0.9178081205080599
"sodium (3,4-dihydro-2H-pyrano[2,3-c]pyridin-6-yl)(hydroxy)methanesulfonate","Pyrazolo[1',5':1,6]pyrimido[4,5-d]pyridazin-4-ones",0.9175008516710902
"6-Methyl-1-(2-chloroethylimino)-1,2,3,4-tetrahydrocarbazole hydrochloride","2-amino-5-substituted-1,3,4-thiadiazoles",0.9174953031927279
rosin derivatives,Mutilin derivatives,0.9173534899116274
Boron arsenate,Alkali metal arsenates,0.9172638787778282
1-allyl 2-acetylamino methyl pyrrolidine,2-benzylaminopyridines,0.9172634833332591
"Phosphorodithioic acid, O,O-di-C1-14-alkyl esters, zinc salts","Phosphorodithioic acid O,O-diesters",0.9168491266985406
"3-oxydo-2,4-pyrimidinediamine monohydrate","5-Benzylpyrimidine-2,4-diamines",0.9167742160879625
"6-[C12-18-alkyl-(branched, unsaturated)-2,5-dioxopyrrolidin-1-yl]hexanoic acid, sodium and tris(2-hydroxyethyl)ammonium salts","1,2-diacyl-sn-glycerol-3(2'-trimethylaminoethyl)phosphonates",0.9166757000610622
"5,5'-thiobis(2-mercapto-1,3,4-thiadiazole)","2-amino-5-substituted-1,3,4-thiadiazoles",0.9165626447309818
