substance_name,best_match,score
polysaccharides,Polysaccharides,1.0000000000000004
Alkyl mercury compounds,Alkyl mercury compounds,1.0000000000000002
naphthalene sulfonates,Naphthalene sulfonates,1
Phenols,Phenols,0.9999999999998769
Tannins,Tannins,0.9999999999998315
cresols,Cresols,0.9999999999998263
xylenols,Xylenols,0.9999999999998147
Other inorganic mercury compounds,Inorganic mercury compounds,0.9668960312485926
polyethylene glycol,Polyethylene glycols,0.9588720886730262
Arsenic compounds,Inorganic arsenic compounds,0.9466592754305275
xylene,Xylenes,0.9376536106705246
Xylene,Xylenes,0.9376536106705246
Chromium VI compounds,Inorganic chromium (VI) compounds,0.9324581084968905
polyterpenes,Polyterpenoids,0.9312399059154519
Quinoline derivative,Quinolines and derivatives,0.9295856555420007
Mercury compounds,Inorganic mercury compounds,0.9289707383617798
Polychlorinated Biphenyls (PCB),Polychlorinated biphenyls,0.9116613453226196
Diaminotoluene,Diaminotoluenes,0.9049868489880337
Nickel and its compounds,Inorganic nickel compounds,0.903910822834782
Quaternary ammonium compounds,Quaternary ammonium salts,0.9012376565213063
Alkyldimethylbenzyl ammonium chloride,Alkyldimethylbenzylammonium chlorides,0.9006719923193556
Carbamic acid ester,Carbamate esters,0.8923844630832083
"trialkylboranes, solid",Trialkylboranes,0.8848757513855062
Fatty alcohols / Aliphatic alcohols,Fatty alcohols,0.884212839556921
esters of fatty acids with polyglycerol,Fatty acid esters,0.8815534706709439
Alkyloxyl and aryl mercury compounds,Alkyl mercury compounds,0.8805111516671102
TRIAZINE B,Triazines,0.8749003831082924
"Sulfonic acids, petroleum",Organic sulfonic acids,0.8718654284445775
lead alkyls,Alkyl lead compounds,0.8680208159115507
chloroanilines (with exception of those specified elsewhere in this Annex),Chloroanilines,0.8666905853895869
polyacrylic acid,Acrylic acids,0.8648022203496669
"Hydrocarbons, C9, aromatics",Aromatic hydrocarbons,0.8610532025210029
m-tolylidene diisocyanate; toluene-diisocyanate,Toluene diisocyanates,0.859954244558771
aluminium alkyls,Metal alkyls,0.8567250065518855
